gear_ratio,vehicle_speed_kmh,road_grade_deg,motor_rpm,motor_torque_nm,wheel_torque_nm,tractive_force_n,rolling_resistance_n,aerodynamic_drag_n,grade_resistance_n,acceleration_mps2,theoretical_vehicle_speed_kmh
3.0,40,2,2000,450.0,1282.5,4007.8125,211.896,46.5802,616.2553,1.740601,80.4248
3.0,40,2,4000,427.5,1218.375,3807.4219,211.896,46.5802,616.2553,1.629272,160.8495
3.0,40,2,6000,382.5,1090.125,3406.6406,211.896,46.5802,616.2553,1.406616,241.2743
3.0,40,2,8000,337.5,961.875,3005.8594,211.896,46.5802,616.2553,1.18396,321.6991
3.0,40,5,2000,450.0,1282.5,4007.8125,211.896,46.5802,1538.9961,1.227967,80.4248
3.0,40,5,4000,427.5,1218.375,3807.4219,211.896,46.5802,1538.9961,1.116639,160.8495
3.0,40,5,6000,382.5,1090.125,3406.6406,211.896,46.5802,1538.9961,0.893982,241.2743
3.0,40,5,8000,337.5,961.875,3005.8594,211.896,46.5802,1538.9961,0.671326,321.6991
3.0,40,8,2000,450.0,1282.5,4007.8125,211.896,46.5802,2457.5186,0.717676,80.4248
3.0,40,8,4000,427.5,1218.375,3807.4219,211.896,46.5802,2457.5186,0.606348,160.8495
3.0,40,8,6000,382.5,1090.125,3406.6406,211.896,46.5802,2457.5186,0.383692,241.2743
3.0,40,8,8000,337.5,961.875,3005.8594,211.896,46.5802,2457.5186,0.161036,321.6991
3.0,40,10,2000,450.0,1282.5,4007.8125,211.896,46.5802,3066.2795,0.379476,80.4248
3.0,40,10,4000,427.5,1218.375,3807.4219,211.896,46.5802,3066.2795,0.268148,160.8495
3.0,40,10,6000,382.5,1090.125,3406.6406,211.896,46.5802,3066.2795,0.045492,241.2743
3.0,40,10,8000,337.5,961.875,3005.8594,211.896,46.5802,3066.2795,-0.177165,321.6991
3.0,60,0,2000,450.0,1282.5,4007.8125,211.896,104.8056,0.0,2.050617,80.4248
3.0,60,0,4000,427.5,1218.375,3807.4219,211.896,104.8056,0.0,1.939289,160.8495
3.0,60,0,6000,382.5,1090.125,3406.6406,211.896,104.8056,0.0,1.716633,241.2743
3.0,60,0,8000,337.5,961.875,3005.8594,211.896,104.8056,0.0,1.493977,321.6991
3.0,60,2,2000,450.0,1282.5,4007.8125,211.896,104.8056,616.2553,1.708253,80.4248
3.0,60,2,4000,427.5,1218.375,3807.4219,211.896,104.8056,616.2553,1.596925,160.8495
3.0,60,2,6000,382.5,1090.125,3406.6406,211.896,104.8056,616.2553,1.374269,241.2743
3.0,60,2,8000,337.5,961.875,3005.8594,211.896,104.8056,616.2553,1.151613,321.6991
3.0,60,5,2000,450.0,1282.5,4007.8125,211.896,104.8056,1538.9961,1.195619,80.4248
3.0,60,5,4000,427.5,1218.375,3807.4219,211.896,104.8056,1538.9961,1.084291,160.8495
3.0,60,5,6000,382.5,1090.125,3406.6406,211.896,104.8056,1538.9961,0.861635,241.2743
3.0,60,5,8000,337.5,961.875,3005.8594,211.896,104.8056,1538.9961,0.638979,321.6991
3.0,60,8,2000,450.0,1282.5,4007.8125,211.896,104.8056,2457.5186,0.685329,80.4248
3.0,60,8,4000,427.5,1218.375,3807.4219,211.896,104.8056,2457.5186,0.574001,160.8495
3.0,60,8,6000,382.5,1090.125,3406.6406,211.896,104.8056,2457.5186,0.351345,241.2743
3.0,60,8,8000,337.5,961.875,3005.8594,211.896,104.8056,2457.5186,0.128688,321.6991
3.0,60,10,2000,450.0,1282.5,4007.8125,211.896,104.8056,3066.2795,0.347129,80.4248
3.0,60,10,4000,427.5,1218.375,3807.4219,211.896,104.8056,3066.2795,0.2358,160.8495
3.0,60,10,6000,382.5,1090.125,3406.6406,211.896,104.8056,3066.2795,0.013144,241.2743
3.0,60,10,8000,337.5,961.875,3005.8594,211.896,104.8056,3066.2795,-0.209512,321.6991
3.0,80,0,2000,450.0,1282.5,4007.8125,211.896,186.321,0.0,2.005331,80.4248
3.0,80,0,4000,427.5,1218.375,3807.4219,211.896,186.321,0.0,1.894003,160.8495
3.0,80,0,6000,382.5,1090.125,3406.6406,211.896,186.321,0.0,1.671346,241.2743
3.0,80,0,8000,337.5,961.875,3005.8594,211.896,186.321,0.0,1.44869,321.6991
3.0,80,2,2000,450.0,1282.5,4007.8125,211.896,186.321,616.2553,1.662967,80.4248
3.0,80,2,4000,427.5,1218.375,3807.4219,211.896,186.321,616.2553,1.551639,160.8495
3.0,80,2,6000,382.5,1090.125,3406.6406,211.896,186.321,616.2553,1.328982,241.2743
3.0,80,2,8000,337.5,961.875,3005.8594,211.896,186.321,616.2553,1.106326,321.6991
3.0,80,5,2000,450.0,1282.5,4007.8125,211.896,186.321,1538.9961,1.150333,80.4248
3.0,80,5,4000,427.5,1218.375,3807.4219,211.896,186.321,1538.9961,1.039005,160.8495
3.0,80,5,6000,382.5,1090.125,3406.6406,211.896,186.321,1538.9961,0.816349,241.2743
3.0,80,5,8000,337.5,961.875,3005.8594,211.896,186.321,1538.9961,0.593692,321.6991
3.0,80,8,2000,450.0,1282.5,4007.8125,211.896,186.321,2457.5186,0.640043,80.4248
3.0,80,8,4000,427.5,1218.375,3807.4219,211.896,186.321,2457.5186,0.528715,160.8495
3.0,80,8,6000,382.5,1090.125,3406.6406,211.896,186.321,2457.5186,0.306058,241.2743
3.0,80,8,8000,337.5,961.875,3005.8594,211.896,186.321,2457.5186,0.083402,321.6991
3.0,80,10,2000,450.0,1282.5,4007.8125,211.896,186.321,3066.2795,0.301842,80.4248
3.0,80,10,4000,427.5,1218.375,3807.4219,211.896,186.321,3066.2795,0.190514,160.8495
3.0,80,10,6000,382.5,1090.125,3406.6406,211.896,186.321,3066.2795,-0.032142,241.2743
3.0,80,10,8000,337.5,961.875,3005.8594,211.896,186.321,3066.2795,-0.254798,321.6991
3.0,100,0,2000,450.0,1282.5,4007.8125,211.896,291.1265,0.0,1.947106,80.4248
3.0,100,0,4000,427.5,1218.375,3807.4219,211.896,291.1265,0.0,1.835777,160.8495
3.0,100,0,6000,382.5,1090.125,3406.6406,211.896,291.1265,0.0,1.613121,241.2743
3.0,100,0,8000,337.5,961.875,3005.8594,211.896,291.1265,0.0,1.390465,321.6991
3.0,100,2,2000,450.0,1282.5,4007.8125,211.896,291.1265,616.2553,1.604741,80.4248
3.0,100,2,4000,427.5,1218.375,3807.4219,211.896,291.1265,616.2553,1.493413,160.8495
3.0,100,2,6000,382.5,1090.125,3406.6406,211.896,291.1265,616.2553,1.270757,241.2743
3.0,100,2,8000,337.5,961.875,3005.8594,211.896,291.1265,616.2553,1.048101,321.6991
3.0,100,5,2000,450.0,1282.5,4007.8125,211.896,291.1265,1538.9961,1.092108,80.4248
3.0,100,5,4000,427.5,1218.375,3807.4219,211.896,291.1265,1538.9961,0.98078,160.8495
3.0,100,5,6000,382.5,1090.125,3406.6406,211.896,291.1265,1538.9961,0.758123,241.2743
3.0,100,5,8000,337.5,961.875,3005.8594,211.896,291.1265,1538.9961,0.535467,321.6991
3.0,100,8,2000,450.0,1282.5,4007.8125,211.896,291.1265,2457.5186,0.581817,80.4248
3.0,100,8,4000,427.5,1218.375,3807.4219,211.896,291.1265,2457.5186,0.470489,160.8495
3.0,100,8,6000,382.5,1090.125,3406.6406,211.896,291.1265,2457.5186,0.247833,241.2743
3.0,100,8,8000,337.5,961.875,3005.8594,211.896,291.1265,2457.5186,0.025177,321.6991
3.0,100,10,2000,450.0,1282.5,4007.8125,211.896,291.1265,3066.2795,0.243617,80.4248
3.0,100,10,4000,427.5,1218.375,3807.4219,211.896,291.1265,3066.2795,0.132289,160.8495
3.0,100,10,6000,382.5,1090.125,3406.6406,211.896,291.1265,3066.2795,-0.090367,241.2743
3.0,100,10,8000,337.5,961.875,3005.8594,211.896,291.1265,3066.2795,-0.313024,321.6991
3.25,20,0,2000,450.0,1389.375,4341.7969,211.896,11.6451,0.0,2.28792,74.2383
3.25,20,0,4000,427.5,1319.9062,4124.707,211.896,11.6451,0.0,2.167314,148.4765
3.25,20,0,6000,382.5,1180.9688,3690.5273,211.896,11.6451,0.0,1.926103,222.7148
3.25,20,0,8000,337.5,1042.0312,3256.3477,211.896,11.6451,0.0,1.684893,296.953
3.25,20,2,2000,450.0,1389.375,4341.7969,211.896,11.6451,616.2553,1.945556,74.2383
3.25,20,2,4000,427.5,1319.9062,4124.707,211.896,11.6451,616.2553,1.82495,148.4765
3.25,20,2,6000,382.5,1180.9688,3690.5273,211.896,11.6451,616.2553,1.583739,222.7148
3.25,20,2,8000,337.5,1042.0312,3256.3477,211.896,11.6451,616.2553,1.342528,296.953
3.25,20,5,2000,450.0,1389.375,4341.7969,211.896,11.6451,1538.9961,1.432922,74.2383
3.25,20,5,4000,427.5,1319.9062,4124.707,211.896,11.6451,1538.9961,1.312317,148.4765
3.25,20,5,6000,382.5,1180.9688,3690.5273,211.896,11.6451,1538.9961,1.071106,222.7148
3.25,20,5,8000,337.5,1042.0312,3256.3477,211.896,11.6451,1538.9961,0.829895,296.953
3.25,20,8,2000,450.0,1389.375,4341.7969,211.896,11.6451,2457.5186,0.922632,74.2383
3.25,20,8,4000,427.5,1319.9062,4124.707,211.896,11.6451,2457.5186,0.802026,148.4765
3.25,20,8,6000,382.5,1180.9688,3690.5273,211.896,11.6451,2457.5186,0.560815,222.7148
3.25,20,8,8000,337.5,1042.0312,3256.3477,211.896,11.6451,2457.5186,0.319604,296.953
3.25,20,10,2000,450.0,1389.375,4341.7969,211.896,11.6451,3066.2795,0.584431,74.2383
3.25,20,10,4000,427.5,1319.9062,4124.707,211.896,11.6451,3066.2795,0.463826,148.4765
3.25,20,10,6000,382.5,1180.9688,3690.5273,211.896,11.6451,3066.2795,0.222615,222.7148
3.25,20,10,8000,337.5,1042.0312,3256.3477,211.896,11.6451,3066.2795,-0.018596,296.953
3.25,40,0,2000,450.0,1389.375,4341.7969,211.896,46.5802,0.0,2.268511,74.2383
3.25,40,0,4000,427.5,1319.9062,4124.707,211.896,46.5802,0.0,2.147906,148.4765
3.25,40,0,6000,382.5,1180.9688,3690.5273,211.896,46.5802,0.0,1.906695,222.7148
3.25,40,0,8000,337.5,1042.0312,3256.3477,211.896,46.5802,0.0,1.665484,296.953
3.25,40,2,2000,450.0,1389.375,4341.7969,211.896,46.5802,616.2553,1.926147,74.2383
3.25,40,2,4000,427.5,1319.9062,4124.707,211.896,46.5802,616.2553,1.805542,148.4765
3.25,40,2,6000,382.5,1180.9688,3690.5273,211.896,46.5802,616.2553,1.564331,222.7148
3.25,40,2,8000,337.5,1042.0312,3256.3477,211.896,46.5802,616.2553,1.32312,296.953
3.25,40,5,2000,450.0,1389.375,4341.7969,211.896,46.5802,1538.9961,1.413514,74.2383
3.25,40,5,4000,427.5,1319.9062,4124.707,211.896,46.5802,1538.9961,1.292908,148.4765
3.25,40,5,6000,382.5,1180.9688,3690.5273,211.896,46.5802,1538.9961,1.051697,222.7148
3.25,40,5,8000,337.5,1042.0312,3256.3477,211.896,46.5802,1538.9961,0.810486,296.953
3.25,40,8,2000,450.0,1389.375,4341.7969,211.896,46.5802,2457.5186,0.903223,74.2383
3.25,40,8,4000,427.5,1319.9062,4124.707,211.896,46.5802,2457.5186,0.782618,148.4765
3.25,40,8,6000,382.5,1180.9688,3690.5273,211.896,46.5802,2457.5186,0.541407,222.7148
3.25,40,8,8000,337.5,1042.0312,3256.3477,211.896,46.5802,2457.5186,0.300196,296.953
3.25,40,10,2000,450.0,1389.375,4341.7969,211.896,46.5802,3066.2795,0.565023,74.2383
3.25,40,10,4000,427.5,1319.9062,4124.707,211.896,46.5802,3066.2795,0.444417,148.4765
3.25,40,10,6000,382.5,1180.9688,3690.5273,211.896,46.5802,3066.2795,0.203206,222.7148
3.25,40,10,8000,337.5,1042.0312,3256.3477,211.896,46.5802,3066.2795,-0.038005,296.953
3.25,60,0,2000,450.0,1389.375,4341.7969,211.896,104.8056,0.0,2.236164,74.2383
3.25,60,0,4000,427.5,1319.9062,4124.707,211.896,104.8056,0.0,2.115559,148.4765
3.25,60,0,6000,382.5,1180.9688,3690.5273,211.896,104.8056,0.0,1.874348,222.7148
3.25,60,0,8000,337.5,1042.0312,3256.3477,211.896,104.8056,0.0,1.633137,296.953
3.25,60,2,2000,450.0,1389.375,4341.7969,211.896,104.8056,616.2553,1.8938,74.2383
3.25,60,2,4000,427.5,1319.9062,4124.707,211.896,104.8056,616.2553,1.773195,148.4765
3.25,60,2,6000,382.5,1180.9688,3690.5273,211.896,104.8056,616.2553,1.531984,222.7148
3.25,60,2,8000,337.5,1042.0312,3256.3477,211.896,104.8056,616.2553,1.290773,296.953
3.25,60,5,2000,450.0,1389.375,4341.7969,211.896,104.8056,1538.9961,1.381166,74.2383
3.25,60,5,4000,427.5,1319.9062,4124.707,211.896,104.8056,1538.9961,1.260561,148.4765
3.25,60,5,6000,382.5,1180.9688,3690.5273,211.896,104.8056,1538.9961,1.01935,222.7148
3.25,60,5,8000,337.5,1042.0312,3256.3477,211.896,104.8056,1538.9961,0.778139,296.953
3.25,60,8,2000,450.0,1389.375,4341.7969,211.896,104.8056,2457.5186,0.870876,74.2383
3.25,60,8,4000,427.5,1319.9062,4124.707,211.896,104.8056,2457.5186,0.75027,148.4765
3.25,60,8,6000,382.5,1180.9688,3690.5273,211.896,104.8056,2457.5186,0.50906,222.7148
3.25,60,8,8000,337.5,1042.0312,3256.3477,211.896,104.8056,2457.5186,0.267849,296.953
3.25,60,10,2000,450.0,1389.375,4341.7969,211.896,104.8056,3066.2795,0.532675,74.2383
3.25,60,10,4000,427.5,1319.9062,4124.707,211.896,104.8056,3066.2795,0.41207,148.4765
3.25,60,10,6000,382.5,1180.9688,3690.5273,211.896,104.8056,3066.2795,0.170859,222.7148
3.25,60,10,8000,337.5,1042.0312,3256.3477,211.896,104.8056,3066.2795,-0.070352,296.953
3.25,80,0,2000,450.0,1389.375,4341.7969,211.896,186.321,0.0,2.190878,74.2383
3.25,80,0,4000,427.5,1319.9062,4124.707,211.896,186.321,0.0,2.070272,148.4765
3.25,80,0,6000,382.5,1180.9688,3690.5273,211.896,186.321,0.0,1.829061,222.7148
3.25,80,0,8000,337.5,1042.0312,3256.3477,211.896,186.321,0.0,1.58785,296.953
3.25,80,2,2000,450.0,1389.375,4341.7969,211.896,186.321,616.2553,1.848514,74.2383
3.25,80,2,4000,427.5,1319.9062,4124.707,211.896,186.321,616.2553,1.727908,148.4765
3.25,80,2,6000,382.5,1180.9688,3690.5273,211.896,186.321,616.2553,1.486697,222.7148
3.25,80,2,8000,337.5,1042.0312,3256.3477,211.896,186.321,616.2553,1.245486,296.953
3.25,80,5,2000,450.0,1389.375,4341.7969,211.896,186.321,1538.9961,1.33588,74.2383
3.25,80,5,4000,427.5,1319.9062,4124.707,211.896,186.321,1538.9961,1.215274,148.4765
3.25,80,5,6000,382.5,1180.9688,3690.5273,211.896,186.321,1538.9961,0.974063,222.7148
3.25,80,5,8000,337.5,1042.0312,3256.3477,211.896,186.321,1538.9961,0.732853,296.953
3.25,80,8,2000,450.0,1389.375,4341.7969,211.896,186.321,2457.5186,0.82559,74.2383
3.25,80,8,4000,427.5,1319.9062,4124.707,211.896,186.321,2457.5186,0.704984,148.4765
3.25,80,8,6000,382.5,1180.9688,3690.5273,211.896,186.321,2457.5186,0.463773,222.7148
3.25,80,8,8000,337.5,1042.0312,3256.3477,211.896,186.321,2457.5186,0.222562,296.953
3.25,80,10,2000,450.0,1389.375,4341.7969,211.896,186.321,3066.2795,0.487389,74.2383
3.25,80,10,4000,427.5,1319.9062,4124.707,211.896,186.321,3066.2795,0.366784,148.4765
3.25,80,10,6000,382.5,1180.9688,3690.5273,211.896,186.321,3066.2795,0.125573,222.7148
3.25,80,10,8000,337.5,1042.0312,3256.3477,211.896,186.321,3066.2795,-0.115638,296.953
3.25,100,0,2000,450.0,1389.375,4341.7969,211.896,291.1265,0.0,2.132652,74.2383
3.25,100,0,4000,427.5,1319.9062,4124.707,211.896,291.1265,0.0,2.012047,148.4765
3.25,100,0,6000,382.5,1180.9688,3690.5273,211.896,291.1265,0.0,1.770836,222.7148
3.25,100,0,8000,337.5,1042.0312,3256.3477,211.896,291.1265,0.0,1.529625,296.953
3.25,100,2,2000,450.0,1389.375,4341.7969,211.896,291.1265,616.2553,1.790288,74.2383
3.25,100,2,4000,427.5,1319.9062,4124.707,211.896,291.1265,616.2553,1.669683,148.4765
3.25,100,2,6000,382.5,1180.9688,3690.5273,211.896,291.1265,616.2553,1.428472,222.7148
3.25,100,2,8000,337.5,1042.0312,3256.3477,211.896,291.1265,616.2553,1.187261,296.953
3.25,100,5,2000,450.0,1389.375,4341.7969,211.896,291.1265,1538.9961,1.277655,74.2383
3.25,100,5,4000,427.5,1319.9062,4124.707,211.896,291.1265,1538.9961,1.157049,148.4765
3.25,100,5,6000,382.5,1180.9688,3690.5273,211.896,291.1265,1538.9961,0.915838,222.7148
3.25,100,5,8000,337.5,1042.0312,3256.3477,211.896,291.1265,1538.9961,0.674627,296.953
3.25,100,8,2000,450.0,1389.375,4341.7969,211.896,291.1265,2457.5186,0.767364,74.2383
3.25,100,8,4000,427.5,1319.9062,4124.707,211.896,291.1265,2457.5186,0.646759,148.4765
3.25,100,8,6000,382.5,1180.9688,3690.5273,211.896,291.1265,2457.5186,0.405548,222.7148
3.25,100,8,8000,337.5,1042.0312,3256.3477,211.896,291.1265,2457.5186,0.164337,296.953
3.25,100,10,2000,450.0,1389.375,4341.7969,211.896,291.1265,3066.2795,0.429164,74.2383
3.25,100,10,4000,427.5,1319.9062,4124.707,211.896,291.1265,3066.2795,0.308558,148.4765
3.25,100,10,6000,382.5,1180.9688,3690.5273,211.896,291.1265,3066.2795,0.067347,222.7148
3.25,100,10,8000,337.5,1042.0312,3256.3477,211.896,291.1265,3066.2795,-0.173864,296.953
3.5,20,0,2000,450.0,1496.25,4675.7812,211.896,11.6451,0.0,2.473467,68.9355
3.5,20,0,4000,427.5,1421.4375,4441.9922,211.896,11.6451,0.0,2.343584,137.871
3.5,20,0,6000,382.5,1271.8125,3974.4141,211.896,11.6451,0.0,2.083818,206.8066
3.5,20,0,8000,337.5,1122.1875,3506.8359,211.896,11.6451,0.0,1.824053,275.7421
3.5,20,2,2000,450.0,1496.25,4675.7812,211.896,11.6451,616.2553,2.131103,68.9355
3.5,20,2,4000,427.5,1421.4375,4441.9922,211.896,11.6451,616.2553,2.00122,137.871
3.5,20,2,6000,382.5,1271.8125,3974.4141,211.896,11.6451,616.2553,1.741454,206.8066
3.5,20,2,8000,337.5,1122.1875,3506.8359,211.896,11.6451,616.2553,1.481689,275.7421
3.5,20,5,2000,450.0,1496.25,4675.7812,211.896,11.6451,1538.9961,1.618469,68.9355
3.5,20,5,4000,427.5,1421.4375,4441.9922,211.896,11.6451,1538.9961,1.488586,137.871
3.5,20,5,6000,382.5,1271.8125,3974.4141,211.896,11.6451,1538.9961,1.22882,206.8066
3.5,20,5,8000,337.5,1122.1875,3506.8359,211.896,11.6451,1538.9961,0.969055,275.7421
3.5,20,8,2000,450.0,1496.25,4675.7812,211.896,11.6451,2457.5186,1.108179,68.9355
3.5,20,8,4000,427.5,1421.4375,4441.9922,211.896,11.6451,2457.5186,0.978296,137.871
3.5,20,8,6000,382.5,1271.8125,3974.4141,211.896,11.6451,2457.5186,0.71853,206.8066
3.5,20,8,8000,337.5,1122.1875,3506.8359,211.896,11.6451,2457.5186,0.458765,275.7421
3.5,20,10,2000,450.0,1496.25,4675.7812,211.896,11.6451,3066.2795,0.769978,68.9355
3.5,20,10,4000,427.5,1421.4375,4441.9922,211.896,11.6451,3066.2795,0.640095,137.871
3.5,20,10,6000,382.5,1271.8125,3974.4141,211.896,11.6451,3066.2795,0.38033,206.8066
3.5,20,10,8000,337.5,1122.1875,3506.8359,211.896,11.6451,3066.2795,0.120564,275.7421
3.5,40,0,2000,450.0,1496.25,4675.7812,211.896,46.5802,0.0,2.454058,68.9355
3.5,40,0,4000,427.5,1421.4375,4441.9922,211.896,46.5802,0.0,2.324176,137.871
3.5,40,0,6000,382.5,1271.8125,3974.4141,211.896,46.5802,0.0,2.06441,206.8066
3.5,40,0,8000,337.5,1122.1875,3506.8359,211.896,46.5802,0.0,1.804644,275.7421
3.5,40,2,2000,450.0,1496.25,4675.7812,211.896,46.5802,616.2553,2.111694,68.9355
3.5,40,2,4000,427.5,1421.4375,4441.9922,211.896,46.5802,616.2553,1.981811,137.871
3.5,40,2,6000,382.5,1271.8125,3974.4141,211.896,46.5802,616.2553,1.722046,206.8066
3.5,40,2,8000,337.5,1122.1875,3506.8359,211.896,46.5802,616.2553,1.46228,275.7421
3.5,40,5,2000,450.0,1496.25,4675.7812,211.896,46.5802,1538.9961,1.59906,68.9355
3.5,40,5,4000,427.5,1421.4375,4441.9922,211.896,46.5802,1538.9961,1.469178,137.871
3.5,40,5,6000,382.5,1271.8125,3974.4141,211.896,46.5802,1538.9961,1.209412,206.8066
3.5,40,5,8000,337.5,1122.1875,3506.8359,211.896,46.5802,1538.9961,0.949646,275.7421
3.5,40,8,2000,450.0,1496.25,4675.7812,211.896,46.5802,2457.5186,1.08877,68.9355
3.5,40,8,4000,427.5,1421.4375,4441.9922,211.896,46.5802,2457.5186,0.958887,137.871
3.5,40,8,6000,382.5,1271.8125,3974.4141,211.896,46.5802,2457.5186,0.699122,206.8066
3.5,40,8,8000,337.5,1122.1875,3506.8359,211.896,46.5802,2457.5186,0.439356,275.7421
3.5,40,10,2000,450.0,1496.25,4675.7812,211.896,46.5802,3066.2795,0.75057,68.9355
3.5,40,10,4000,427.5,1421.4375,4441.9922,211.896,46.5802,3066.2795,0.620687,137.871
3.5,40,10,6000,382.5,1271.8125,3974.4141,211.896,46.5802,3066.2795,0.360921,206.8066
3.5,40,10,8000,337.5,1122.1875,3506.8359,211.896,46.5802,3066.2795,0.101156,275.7421
3.5,60,0,2000,450.0,1496.25,4675.7812,211.896,104.8056,0.0,2.421711,68.9355
3.5,60,0,4000,427.5,1421.4375,4441.9922,211.896,104.8056,0.0,2.291828,137.871
3.5,60,0,6000,382.5,1271.8125,3974.4141,211.896,104.8056,0.0,2.032063,206.8066
3.5,60,0,8000,337.5,1122.1875,3506.8359,211.896,104.8056,0.0,1.772297,275.7421
3.5,60,2,2000,450.0,1496.25,4675.7812,211.896,104.8056,616.2553,2.079347,68.9355
3.5,60,2,4000,427.5,1421.4375,4441.9922,211.896,104.8056,616.2553,1.949464,137.871
3.5,60,2,6000,382.5,1271.8125,3974.4141,211.896,104.8056,616.2553,1.689698,206.8066
3.5,60,2,8000,337.5,1122.1875,3506.8359,211.896,104.8056,616.2553,1.429933,275.7421
3.5,60,5,2000,450.0,1496.25,4675.7812,211.896,104.8056,1538.9961,1.566713,68.9355
3.5,60,5,4000,427.5,1421.4375,4441.9922,211.896,104.8056,1538.9961,1.43683,137.871
3.5,60,5,6000,382.5,1271.8125,3974.4141,211.896,104.8056,1538.9961,1.177065,206.8066
3.5,60,5,8000,337.5,1122.1875,3506.8359,211.896,104.8056,1538.9961,0.917299,275.7421
3.5,60,8,2000,450.0,1496.25,4675.7812,211.896,104.8056,2457.5186,1.056423,68.9355
3.5,60,8,4000,427.5,1421.4375,4441.9922,211.896,104.8056,2457.5186,0.92654,137.871
3.5,60,8,6000,382.5,1271.8125,3974.4141,211.896,104.8056,2457.5186,0.666774,206.8066
3.5,60,8,8000,337.5,1122.1875,3506.8359,211.896,104.8056,2457.5186,0.407009,275.7421
3.5,60,10,2000,450.0,1496.25,4675.7812,211.896,104.8056,3066.2795,0.718222,68.9355
3.5,60,10,4000,427.5,1421.4375,4441.9922,211.896,104.8056,3066.2795,0.58834,137.871
3.5,60,10,6000,382.5,1271.8125,3974.4141,211.896,104.8056,3066.2795,0.328574,206.8066
3.5,60,10,8000,337.5,1122.1875,3506.8359,211.896,104.8056,3066.2795,0.068808,275.7421
3.5,80,0,2000,450.0,1496.25,4675.7812,211.896,186.321,0.0,2.376425,68.9355
3.5,80,0,4000,427.5,1421.4375,4441.9922,211.896,186.321,0.0,2.246542,137.871
3.5,80,0,6000,382.5,1271.8125,3974.4141,211.896,186.321,0.0,1.986776,206.8066
3.5,80,0,8000,337.5,1122.1875,3506.8359,211.896,186.321,0.0,1.727011,275.7421
3.5,80,2,2000,450.0,1496.25,4675.7812,211.896,186.321,616.2553,2.034061,68.9355
3.5,80,2,4000,427.5,1421.4375,4441.9922,211.896,186.321,616.2553,1.904178,137.871
3.5,80,2,6000,382.5,1271.8125,3974.4141,211.896,186.321,616.2553,1.644412,206.8066
3.5,80,2,8000,337.5,1122.1875,3506.8359,211.896,186.321,616.2553,1.384646,275.7421
3.5,80,5,2000,450.0,1496.25,4675.7812,211.896,186.321,1538.9961,1.521427,68.9355
3.5,80,5,4000,427.5,1421.4375,4441.9922,211.896,186.321,1538.9961,1.391544,137.871
3.5,80,5,6000,382.5,1271.8125,3974.4141,211.896,186.321,1538.9961,1.131778,206.8066
3.5,80,5,8000,337.5,1122.1875,3506.8359,211.896,186.321,1538.9961,0.872013,275.7421
3.5,80,8,2000,450.0,1496.25,4675.7812,211.896,186.321,2457.5186,1.011136,68.9355
